item,itemLabel,itemDescription,gender,genderLabel,dob,dobPrecision,dod,dodPrecision
Q15652611,Q15652611,,Q6581097,male,1948-01-01T00:00:00Z,9,,
Q278849,A. K. Antony,Indian politician,Q6581097,male,1940-12-28T00:00:00Z,11,,
Q196617,Abul Kalam Azad,Indian scholar (1888-1958),Q6581097,male,1888-11-11T00:00:00Z,11,1958-02-22T00:00:00Z,11
Q4735334,Alphons Kannanthanam,Indian politician,Q6581097,male,1953-08-08T00:00:00Z,11,,
Q3347864,Ambika Soni,Indian politician,Q6581072,female,1942-11-13T00:00:00Z,11,,
Q4746875,Amit Shah,Indian politician,Q6581097,male,1964-10-22T00:00:00Z,11,,
Q431601,Amrit Kaur,Indian politician (1889-1964),Q6581072,female,1889-02-02T00:00:00Z,11,1964-02-06T00:00:00Z,11
Q1428118,Anbumani Ramadoss,Indian politician,Q6581097,male,1968-10-09T00:00:00Z,11,,
Q3309208,Arjun Singh,Indian politician,Q6581097,male,1930-11-05T00:00:00Z,11,2011-03-04T00:00:00Z,11
Q3629480,Arun Jaitley,Indian politician,Q6581097,male,1952-12-28T00:00:00Z,11,2019-08-24T00:00:00Z,11
Q233289,Atal Bihari Vajpayee,10th Prime Minister of India (1924-2018),Q6581097,male,1924-12-24T00:00:00Z,11,2018-08-16T00:00:00Z,11
Q4850423,Baldev Singh,Indian Sikh political leader,Q6581097,male,1902-07-11T00:00:00Z,11,1961-06-29T00:00:00Z,11
Q2604943,Bali Ram Bhagat,Governor of Rajasthan and Speaker of Lok Sabha,Q6581097,male,1922-10-07T00:00:00Z,11,2011-01-02T00:00:00Z,11
Q3497331,Balram Jakhar,Indian politician,Q6581097,male,1923-08-23T00:00:00Z,11,2016-02-03T00:00:00Z,11
Q3634914,Bansi Lal,Indian politician,Q6581097,male,1927-08-26T00:00:00Z,11,2006-03-28T00:00:00Z,11
Q12441676,Bindeshwari Dubey,"administrator, politician, unionist",Q6581097,male,1921-01-14T00:00:00Z,11,1993-01-20T00:00:00Z,11
Q5006743,C. P. Joshi,Indian politician,Q6581097,male,1950-07-29T00:00:00Z,11,,
Q378404,C. Rajagopalachari,Indian politician and activist,Q6581097,male,1878-12-10T00:00:00Z,11,1972-12-25T00:00:00Z,11
Q334279,Chandra Shekhar,Indian politician (1927-2007),Q6581097,male,1927-04-17T00:00:00Z,11,2007-07-08T00:00:00Z,11
Q319824,Charan Singh,prime minister of India (1902-1987),Q6581097,male,1902-12-23T00:00:00Z,11,1987-05-29T00:00:00Z,11
Q1764533,Chaudhary Devi Lal,former Deputy Prime Minister of India (1915-2001),Q6581097,male,1914-09-25T00:00:00Z,11,2001-04-06T00:00:00Z,11
Q17479033,Chaudhary Nitiraj Singh,Indian politician,Q6581097,male,1909-02-13T00:00:00Z,11,1988-11-01T00:00:00Z,10
Q982295,Chidambaram Subramaniam,Indian politician (1910-2000),Q6581097,male,1910-01-30T00:00:00Z,11,2000-11-07T00:00:00Z,11
Q23060166,Dattatraya Parashuram Karmarkar,politician from India,Q6581097,male,1902-07-20T00:00:00Z,11,1991-06-20T00:00:00Z,11
Q5278104,Dinesh Singh,Indian politician,Q6581097,male,1925-07-19T00:00:00Z,11,1995-11-30T00:00:00Z,11
Q3525366,Dinesh Trivedi,Indian politician,Q6581097,male,1950-06-04T00:00:00Z,11,,
Q3532853,G. K. Vasan,Indian politician,Q6581097,male,1964-12-28T00:00:00Z,11,,
Q3056379,George Fernandes,Indian politician,Q6581097,male,1930-06-03T00:00:00Z,11,2019-01-29T00:00:00Z,11
Q5542079,George Malcolm,Canadian politician,Q6581097,male,1865-08-20T00:00:00Z,11,1930-08-18T00:00:00Z,11
