item,itemLabel,startDate,endDate
Q7917880,Ved Prakash Malik,1999-01-01,2000-09-30
Q7648943,Sushil Kumar,2000-10-01,2001-12-29
Q7639245,Sundararajan Padmanabhan,2001-12-30,2002-12-31
Q16107133,Madhvendra Singh,2002-12-31,2004-07-31
Q7586462,Srinivasapuram Krishnaswamy,2004-07-31,2004-12-29
Q7039992,Nirmal Chander Vij,2004-12-30,2005-01-30
Q4802127,Arun Prakash,2005-01-31,2006-10-31
Q7124252,Shashindra Pal Tyagi,2006-10-31,2007-03-31
Q1895936,Joginder Jaswant Singh,2007-03-31,2007-09-30
Q7645604,Sureesh Mehta,2007-09-30,2009-08-31
Q5250509,Deepak Kapoor,2009-08-31,2010-03-31
Q7237445,Pradeep Vasant Naik,2010-03-31,2011-07-30
Q12072068,Nirmal Kumar Verma,2011-07-30,2012-08-31
Q7051915,Norman Anil Kumar Browne,2012-08-31,2013-12-31
Q2354992,Bikram Singh,2013-12-31,2014-07-31
Q4802286,Arup Raha,2014-07-31,2016-12-31
Q19666291,Sunil Lanba,2016-12-31,2019-05-31
Q24950632,Birender Singh Dhanoa,2019-05-31,2019-09-27
Q4915447,Bipin Rawat,2019-09-27,2021-12-08
Q44633840,Manoj Mukund Naravane,2021-12-15,2022-04-30
