@@,itemlabel,item,startdate,enddate
+++,Mairembam Koireng Singh,Q6736926,1963-07-01,1967-01-11
+++,President's rule,Q1486618,1967-01-12,1967-03-19
+++,Mairembam Koireng Singh,Q6736926,1967-03-20,1967-10-04
+++,Longjam Thambou Singh,,1967-10-13,1967-10-24
+++,President's rule,Q1486618,1967-10-25,1968-02-18
+++,Mairembam Koireng Singh,Q6736926,1968-02-19,1969-10-16
+++,President's rule,Q1486618,1969-10-17,1972-03-22
+++,Mohammed Alimuddin,Q24284529,1972-03-23,1973-03-27
+++,President's rule,Q1486618,1973-03-28,1974-03-03
+++,Mohammed Alimuddin,Q24284529,1974-03-04,1974-07-09
+++,Yangmasho Shaiza,Q8048602,1974-07-10,1974-12-05
+++,Raj Kumar Dorendra Singh,Q7285314,1974-12-06,1977-05-15
+++,President's rule,Q1486618,1977-05-16,1977-06-28
+++,Yangmasho Shaiza,Q8048602,1977-06-29,1979-11-13
+++,President's rule,Q1486618,1979-11-14,1980-01-13
+++,Raj Kumar Dorendra Singh,Q7285314,1980-01-14,1980-11-26
+++,President's rule,Q1486618,1981-02-28,1981-06-18
+++,Raj Kumar Jaichandra Singh,Q28967511,1988-03-04,1990-02-22
+++,Raj Kumar Ranbir Singh,Q38464739,1990-02-23,1992-01-06
+++,President's rule,Q1486618,1992-01-07,1992-04-07
+++,Raj Kumar Dorendra Singh,Q7285314,1992-04-08,1993-04-10
+++,President's rule,Q1486618,1993-12-31,1994-12-13
+++,President's rule,Q1486618,2001-06-02,2002-03-06
->,Okram Ibobi Singh,Q2017412,2002-03-07,2017-03-15->2007-03-01
+++,Okram Ibobi Singh,Q2017412,2007-03-02,2012-03-05
+++,Okram Ibobi Singh,Q2017412,2012-03-06,2017-03-14
